#x(cm) d0(mm) d(mm)
3 1.03 1.34
5 0.98 1.57
7 1.06 1.81
9 1.04 2.05
11 1.05 2.24
13 1.07 2.46
15 1.09 12.63
17 1.10 2.81
19 1.13 2.97
21 1.17 3.12
22 1.19 3.18
23 1.19 3.21
24 1.19 3.22
24.5 1.23 3.28
29.5 3.08 5.17
30 3.09 5.18
31 3.10 5.15
32 3.11 5.16
34 3.15 5.12
36 3.16 5.03
38 3.18 4.92
40 3.19 4.77
42 3.22 4.62
44 3.21 4.46
46 3.26 4.30
48 3.26 4.10
50 3.27 3.90
52 3.27 3.67
54 3.28 3.45
